stnnbr,c2,c3,c4,bottle flag,geotrc_ID,c7,c8,lat,lon,bottom depth,CTD pressure,CTD temperature,c14,c15,practical_salinity,bottle salinity flag,c18,c19,oxygen,bottle oxygen flag,silicate,silicate flag,nitrate,nitrate flag,c26,c27,phosphate,phosphate flag,PO,NO,SiO,absolute_salinity,conservative_temp,potential_temp,sigma0,depth
3.0,6,19,19,2,12549,20180928,822,55.0802,-155.7202,1628,1013.2,2.9178,34.374,2,34.3729,2,14.6,2,14.5,2,144.69,2,44.3,2,0.0,2,3.14,2,501.20000000000005,443.32399999999996,2184.85,34.5581720501303,2.8510153426529605,2.849622312775227,27.41690140723631,1001.6165239622333
3.0,6,16,16,2,12550,20180928,822,55.0802,-155.7202,1628,1115.7,2.7339,34.4091,2,34.4076,2,16.6,2,16.41,2,150.74,2,44.26,2,0.0,2,3.12,2,500.01000000000005,444.8468,2277.51,34.5937676570694,2.660651374039017,2.6594757885933413,27.461956596268692,1102.6754548077495
3.0,6,13,13,2,12551,20180928,822,55.0802,-155.7202,1628,1317.7,2.4546,34.4698,2,34.4693,2,23.5,2,23.03,2,158.15,2,44.13,2,0.0,2,3.09,2,501.98,450.2084,2395.28,34.656862544822985,2.3681687408650753,2.3673511039564827,27.537068194707444,1301.6926430827752
3.0,4,4,4,2,12542,20180928,10,55.0802,-155.7203,1628,1416.0,2.3682,34.4893,2,34.4895,2,26.5,2,26.17,2,161.07,2,44.2,2,0.0,2,3.06,2,500.47,454.026,2442.22,34.67755571201329,2.2749594181919446,2.2742483855407003,27.56127019665655,1398.4728332861287
3.0,6,10,10,2,12552,20180928,822,55.0802,-155.7202,1628,1418.1,2.3782,34.4875,2,34.4856,2,25.1,2,26.14,2,160.1,2,43.81,2,0.0,2,3.08,2,503.54,450.2208,2427.64,34.673641991794995,2.28471857156739,2.2839833109950094,27.557350796826313,1400.5398792092378
3.0,6,7,7,2,12553,20180928,822,55.0802,-155.7202,1628,1518.0,2.2465,34.515,2,34.5136,2,30.5,2,31.64,2,163.71,2,43.59,2,0.0,2,3.04,2,502.84,453.5912,2487.29,34.70215205001868,2.1465400298995574,2.145937062081668,27.59133988184726,1498.8487614081976
3.0,4,1,1,2,12543,20180928,10,55.0802,-155.7203,1628,1579.2,2.1862,34.5273,2,34.5295,2,35.6,2,35.72,2,165.56,2,43.53,2,0.0,2,3.01,2,502.27,457.09040000000005,2519.12,34.718258080545105,2.08204201286864,2.0815172177897443,27.609359052937634,1559.0513758102923
3.0,6,4,4,2,12554,20180928,822,55.0802,-155.7202,1628,1581.8,2.1927,34.5261,2,34.5236,2,35.2,2,35.09,2,166.05,2,43.42,2,0.0,2,3.04,2,506.28999999999996,455.39560000000006,2525.84,34.7123308928589,2.088312020183134,2.0877476597718942,27.60413686815332,1561.6086228374777
3.0,6,1,1,2,12555,20180928,822,55.0802,-155.7202,1628,1620.6,2.1743,34.5302,2,34.5279,2,37.0,2,36.22,2,166.54,2,43.35,2,0.0,2,3.02,2,504.32000000000005,455.84799999999996,2534.3199999999997,34.71672994851602,2.0670403792763374,2.0664946502383477,27.60934394703645,1599.7669373525812
4.0,5,19,19,2,12611,20180929,609,54.6602,-155.1702,5716,148.1,4.0748,33.702,2,33.696999999999996,2,87.4,2,84.43,2,72.77,2,40.12,2,0.01,2,2.82,2,521.53,472.79159999999996,1175.98,33.86604741205584,4.072622960285217,4.064651354042438,26.751785611522337,146.7168428648425
4.0,3,15,15,2,12591,20180928,2124,54.6603,-155.1707,5716,149.2,4.1005,33.7051,2,33.7038,2,85.2,2,85.17,2,73.36,2,40.36,2,0.0,2,2.83,2,523.82,475.8548,1185.5700000000002,33.87296596840093,4.098161492735666,4.090241946373249,26.75464078332425,147.80617455544507
4.0,5,16,16,2,12612,20180929,609,54.6602,-155.1702,5716,201.5,3.9993,33.8928,2,33.8914,2,41.4,2,37.38,2,86.82,2,43.74,2,0.01,2,3.05,2,510.13,460.7832,1339.68,34.06418446764813,3.991408279123123,3.9854608865901215,26.91664742017224,199.59232108989502
4.0,3,11,11,2,12592,20180928,2124,54.6603,-155.1707,5716,205.6,4.0237,33.8639,2,33.8627,2,50.5,2,45.85,2,84.38,2,43.32,2,0.0,2,3.03,2,515.5,465.18760000000003,1311.5499999999997,34.03542523088154,4.015787008425851,4.009542574769324,26.89143468714883,203.65148295491375
