watermass_name,conservative_temp,absolute_salinity,silicate,nitrate,phosphate,oxygen,latitude,longitude
AABW_0,0.071010301,34.87430572,128.2326478,32.46457303,2.256264229,216.2266437,-63.7804994,-119.0141882
AAIW_0,5.041524131,34.38777005,11.50736104,23.99184899,1.670312807,272.3098465,-52.77728515,-85.08989542
AAIW_1,4.4724418,34.40403247,20.43486397,28.5440625,1.994463651,231.4545456,-50.71777098,-86.19284903
ENPCW_0,15.98792599,34.79595268,3.538625931,3.510966314,0.320541214,213.7201805,24.48180699,-151.7859399
ENPCW_1,8.553011451,34.20343379,28.66145739,21.54589188,1.568646984,177.5079088,25.18948142,-150.7838075
EqIW_0,5.457477156,34.73305546,72.17088092,42.52237801,3.05661895,42.81759415,-3.463370259,-85.83407945
EqIW_1,8.738919702,34.84349588,44.15319989,38.84922303,2.845376105,8.044958047,-1.594136122,-85.83444509
LCDW_0,1.549640374,34.90435924,93.31228299,31.50098322,2.181684549,190.0954971,-64.06068379,-143.6672951
LCDW_1,0.76666898,34.88513493,119.8249415,32.42568319,2.258798239,199.0892997,-65.26416512,-119.8208262
NPIW_0,9.413380182,34.34294447,32.63,19.84,1.41,177,37.029,149.66
NPIW_1,7.150665376,34.01855691,25.25523466,15.05134687,1.185483314,268.404972,38.73960238,148.5138164
NPIW_2,4.544643045,34.10715518,77.91218393,34.76325739,2.516498613,114.1425847,37.02651724,149.6639924
PDW_0,3.738684219,34.42681786,117.4485974,43.86917572,3.157473483,11.38511376,41.84670974,-135.3266088
PDW_1,2.155131278,34.7124527,167.5110582,44.56781139,3.151373517,23.93296744,43.2628938,-152.0143536
PDW_2,1.195153469,34.86691944,171.5998071,37.1020636,2.591516265,136.8044398,43.48444002,-145.0614652
ESSW_0,15.01209873,35.12193788,14.30959982,23.08326019,1.432877162,74.74212776,2.226728046,-110.0070056
ESSW_1,9.970723208,34.87179664,34.77255855,35.95536494,2.675202594,6.818805235,6.13967053,-109.4837618
PSUW_0,6.133230102,32.70765309,19.7229032,11.96515847,1.208214697,324.8386652,52.90379036,-145.7702291
PSUW_1,4.5262834,33.60192001,50.06520158,29.986616,2.279072084,178.8573103,50.77227371,-146.0120473
SPCW_0,18.61554844,35.67936012,0.756208335,1.036958466,0.181163579,206.6437754,-25.04750331,-147.8130681
SPCW_1,8.395198394,34.61973475,6.468204919,19.97829685,1.42745123,201.5183688,-25.2653583,-132.9458135
UCDW_0,2.478316612,34.72774375,83.32187927,34.1121004,2.389710298,168.7855022,-46.66373102,-150.1940451
