sigma0,conservative_temp,absolute_salinity,nitrate,phosphate,oxygen,silicate
23.92,23.4411833184205,35.35076883022662,0.02069168853530176,0.09106356419397778,215.23040815079878,1.1788074429380098
23.93,23.411260743195395,35.35211105055486,0.02053805295089598,0.09089639885180993,215.29681956415124,1.1780960956176605
23.94,23.38136507223414,35.35346748727355,0.020404010283953684,0.09072709365562966,215.36101735790666,1.177195178220169
23.95,23.351482087546874,35.35483369643432,0.02029216563638045,0.09055612715829793,215.4229773367752,1.1761078281900808
23.96,23.32159699439623,35.356204471270864,0.020205058511600708,0.09038392756581319,215.4826647493162,1.1748398488151435
23.97,23.291697848990705,35.35757559562793,0.020145223158547373,0.0902107810722339,215.54001063538811,1.1733972443901255
23.98,23.26177415556752,35.3589443279714,0.02011533249886236,0.0900369399650666,215.59490367124735,1.1717833648155593
23.990000000000002,23.231816503730144,35.36030799223844,0.020118185703995175,0.089862652209663,215.64721415116796,1.1699944057889322
24.0,23.201819994578695,35.361665165860465,0.020156678008152604,0.08968829111518659,215.69677126502643,1.1680227266834857
24.01,23.171781407313468,35.363014359445074,0.02023412760994773,0.08951424045895616,215.74337590038436,1.1658625591414236
24.02,23.141698690424697,35.36435395418636,0.02035407641399033,0.08934066687691333,215.78684985032808,1.16351149211022
24.03,23.111569874988795,35.365682829724086,0.020520282804667417,0.08916786721397887,215.82702419726246,1.1609714255325907
24.04,23.081390687859038,35.36699932661878,0.020736606330936706,0.08899621049279924,215.86375605551146,1.1582518923283167
24.05,23.05115689153889,35.368301221539795,0.021006909421838357,0.08882577192755411,215.8969165747951,1.1553692395887514
24.06,23.02086460778883,35.36958588716013,0.021335072212796426,0.08865665578675189,215.92640103369993,1.1523437949642221
24.07,22.990509725093236,35.37085008895794,0.02172501826726454,0.08848937703929964,215.95214007270954,1.149203744661801
24.08,22.960089439430096,35.372090751341396,0.022180740180430973,0.08832429818749868,215.97408831351754,1.1459750219055775
24.09,22.929604149934097,35.37330575222048,0.02270663315797884,0.08816154788983022,215.9921820695542,1.1426772601765445
24.1,22.899053458721635,35.374493408293084,0.023309064501945212,0.0880013878451134,216.0063456977433,1.1393288490889384
24.11,22.868436233215068,35.37565174044937,0.02399514836252612,0.08784455168685697,216.0165381408388,1.1359485649403234
24.12,22.837749800735853,35.376777865785876,0.024771880090622755,0.08769197750988122,216.02276548898644,1.1325544643461205
24.13,22.806986371236526,35.37786752266416,0.02564655616546967,0.08754462978418585,216.0250603830087,1.129161721517904
24.14,22.776138582843657,35.3789172633828,0.02662693464160479,0.08740354828920015,216.0234650591588,1.125782031084418
24.15,22.74519839861232,35.37992425080122,0.027720941102846664,0.08727026023367343,216.01800728239232,1.1224284721719657
24.16,22.714156515185042,35.38088573155376,0.0289367639297928,0.0871466140877504,216.00870322189093,1.1191156295148876
24.17,22.683005059119406,35.38179946126791,0.030283144762687713,0.08703425974732952,215.99557426830776,1.1158548192667985
24.18,22.65173668365686,35.38266457967501,0.031768890097010054,0.08693443263361053,215.97864570877312,1.1126533549349542
24.19,22.62034756634685,35.383481652185786,0.03340296807533644,0.08684799806163175,215.95794893141613,1.1095154395215843
24.2,22.588832114573094,35.384251233572364,0.03519470509691003,0.08677595379758532,215.93354224025157,1.1064483960021825
24.21,22.55718425854538,35.38497405323174,0.03715324919449045,0.08671911217280734,215.90550378265183,1.103465851737973
24.22,22.52539603069262,35.385650207554306,0.03928750848551593,0.08667815478920027,215.8739396190107,1.1005860105739012
24.23,22.49345640462076,35.38627989541124,0.041606499083411116,0.08665355943888745,215.8389654302711,1.0978283287599337
