21.71,28.275,34.21,211.74,2.2589,0.4714,0.26177,28.314,11.031
21.72,28.252,34.214,211.89,2.2648,0.48039,0.26307,28.291,11.113
21.73,28.23,34.217,212.03,2.2709,0.48928,0.26432,28.268,11.188
21.74,28.207,34.221,212.18,2.2769,0.49803,0.26552,28.246,11.256
21.75,28.184,34.224,212.33,2.2829,0.50665,0.26668,28.223,11.318
21.76,28.162,34.227,212.49,2.2889,0.51518,0.2678,28.2,11.372
21.77,28.139,34.231,212.64,2.2948,0.52366,0.26888,28.177,11.418
21.78,28.116,34.234,212.79,2.3008,0.53213,0.26993,28.153,11.458
21.79,28.093,34.237,212.95,2.3068,0.54064,0.27095,28.13,11.492
21.8,28.069,34.241,213.1,2.3128,0.54923,0.27196,28.107,11.518
21.81,28.046,34.244,213.25,2.3189,0.55796,0.27295,28.083,11.537
21.82,28.023,34.247,213.4,2.325,0.56688,0.27393,28.06,11.549
21.83,28,34.25,213.54,2.3313,0.57603,0.27491,28.037,11.553
21.84,27.977,34.253,213.69,2.3377,0.58547,0.2759,28.013,11.549
21.85,27.954,34.257,213.83,2.3442,0.59525,0.27689,27.99,11.538
21.86,27.931,34.26,213.96,2.351,0.6054,0.2779,27.967,11.52
21.87,27.908,34.263,214.09,2.3579,0.61598,0.27893,27.943,11.495
21.88,27.884,34.267,214.22,2.3649,0.627,0.27999,27.92,11.464
21.89,27.861,34.27,214.34,2.3722,0.63851,0.28107,27.897,11.426
21.9,27.838,34.273,214.46,2.3796,0.65052,0.28217,27.874,11.384
21.91,27.815,34.276,214.57,2.3872,0.66306,0.28331,27.85,11.336
21.92,27.792,34.28,214.68,2.395,0.67615,0.28448,27.827,11.285
21.93,27.769,34.283,214.78,2.4029,0.68983,0.28569,27.804,11.229
21.94,27.746,34.286,214.88,2.4109,0.70409,0.28693,27.78,11.17
21.95,27.722,34.29,214.97,2.4191,0.71897,0.28821,27.757,11.108
21.96,27.699,34.293,215.06,2.4275,0.73447,0.28953,27.733,11.041
21.97,27.676,34.296,215.14,2.4359,0.75061,0.29089,27.71,10.971
21.98,27.653,34.299,215.22,2.4445,0.76741,0.29229,27.686,10.897
21.99,27.63,34.303,215.29,2.4533,0.78488,0.29374,27.663,10.819
22,27.607,34.306,215.36,2.4621,0.80302,0.29522,27.64,10.738
22.01,27.583,34.309,215.43,2.4711,0.8218,0.29675,27.616,10.653
22.02,27.561,34.313,215.49,2.4801,0.84122,0.29832,27.593,10.564
22.03,27.538,34.316,215.55,2.4893,0.86125,0.29992,27.57,10.474
22.04,27.515,34.32,215.6,2.4987,0.88187,0.30155,27.548,10.382
22.05,27.493,34.323,215.65,2.5081,0.90306,0.30322,27.525,10.291
22.06,27.47,34.327,215.69,2.5177,0.92481,0.30492,27.502,10.201
22.07,27.448,34.331,215.73,2.5273,0.94709,0.30666,27.479,10.113
22.08,27.425,34.334,215.77,2.5371,0.9699,0.30843,27.457,10.028
22.09,27.403,34.338,215.8,2.547,0.99322,0.31024,27.434,9.9478
22.1,27.38,34.341,215.83,2.5569,1.017,0.31208,27.411,9.8727
22.11,27.357,34.345,215.85,2.5669,1.0413,0.31395,27.388,9.8037
22.12,27.334,34.348,215.87,2.577,1.066,0.31586,27.365,9.7416
22.13,27.311,34.352,215.88,2.5871,1.0912,0.3178,27.342,9.6871
22.14,27.288,34.355,215.89,2.5973,1.1167,0.31977,27.318,9.6411
22.15,27.264,34.358,215.9,2.6075,1.1427,0.32177,27.294,9.6042
22.16,27.24,34.362,215.9,2.6177,1.1691,0.32381,27.27,9.5771
22.17,27.216,34.365,215.89,2.628,1.1958,0.32588,27.246,9.5605
22.18,27.192,34.367,215.89,2.6383,1.2228,0.32797,27.221,9.5553
22.19,27.167,34.37,215.87,2.6486,1.25,0.33008,27.196,9.562
22.2,27.142,34.373,215.86,2.6589,1.2774,0.33221,27.171,9.5812
22.21,27.116,34.375,215.85,2.6692,1.3049,0.33435,27.145,9.6133
22.22,27.09,34.377,215.83,2.6794,1.3325,0.33651,27.119,9.6586
22.23,27.064,34.38,215.81,2.6895,1.3602,0.33867,27.092,9.7169
22.24,27.037,34.382,215.79,2.6996,1.3879,0.34084,27.065,9.7879
22.25,27.01,34.383,215.77,2.7096,1.4156,0.34302,27.038,9.8713
22.26,26.982,34.385,215.75,2.7196,1.4434,0.34521,27.01,9.9665
22.27,26.954,34.387,215.72,2.7295,1.4712,0.3474,26.982,10.073
22.28,26.926,34.388,215.7,2.7394,1.499,0.3496,26.954,10.191
22.29,26.898,34.389,215.67,2.7493,1.5268,0.3518,26.925,10.32
22.3,26.869,34.39,215.65,2.7591,1.5546,0.35401,26.896,10.461
22.31,26.84,34.391,215.62,2.7688,1.5823,0.35622,26.867,10.614
22.32,26.81,34.392,215.6,2.7784,1.6101,0.35844,26.837,10.779
22.33,26.78,34.393,215.57,2.788,1.6377,0.36067,26.807,10.957
22.34,26.749,34.393,215.54,2.7974,1.6654,0.3629,26.777,11.148
