sigma0,conservative_temp,absolute_salinity,nitrate,phosphate,oxygen,silicate
22.79,28.37832930170639,35.8513544523748,0.033744705708909306,0.14965643662933373,198.10849185041766,0.47913258734477576
22.8,28.348678933428378,35.85232764491364,0.03372500473250237,0.14909134076336847,198.21244792031987,0.4828719371758319
22.81,28.319028697631772,35.85330099586252,0.03370540771418077,0.14852630892615074,198.31641521504972,0.4866124800357513
22.82,28.289378677117426,35.854274604227705,0.03368597962774785,0.14796138113564714,198.42040075012454,0.49035496156757696
22.83,28.259728954686228,35.855248569015465,0.03366678544700695,0.14739659740982514,198.5244115410616,0.4941001274143465
22.84,28.23007961313904,35.85622298923208,0.0336478901457614,0.14683199776665143,198.6284546033782,0.497848723219103
22.849999999999998,28.20043073527675,35.85719796388381,0.033629358697814554,0.14626762222409348,198.73253695259154,0.5016014946248841
22.86,28.170782403900212,35.85817359197694,0.03361125607696972,0.14570351080011787,198.83666560421906,0.505359187274733
22.869999999999997,28.14113470181032,35.859149972517734,0.03359364725703027,0.14513970351269215,198.94084757377794,0.509122546811687
22.88,28.11148771180792,35.860127204512466,0.033576597211799515,0.1445762403797829,199.0450898767855,0.5128923188787894
22.89,28.081841516693903,35.8611053869674,0.0335601709150808,0.14401316141935744,199.14939952875906,0.5166692491190792
22.9,28.05219619926915,35.86208461888883,0.03354443334067748,0.143450506649383,199.25378354521584,0.5204540831755954
22.91,28.022551842334515,35.863064999283,0.03352944946239287,0.14288831608782623,199.35824894167317,0.524247566691381
22.919999999999998,27.99290868761928,35.864046703016854,0.03351527516230108,0.14232664120076957,199.46280121779233,0.5280505187780863
22.93,27.963267863318343,35.865030327219685,0.03350191495954267,0.14176558763450098,199.56743765561416,0.5318641703560287
22.939999999999998,27.93363122556934,35.866016814510814,0.033489330252105785,0.1412052915171561,199.6721491329546,0.5356900934340518
22.95,27.90400070766435,35.867007144069504,0.03347747782381964,0.1406458915577148,199.77692586480006,0.5395298963084537
22.96,27.874378242895496,35.868002295075,0.03346631445851348,0.14008752646515754,199.88175806613685,0.5433851872755285
22.97,27.844765764554886,35.86900324670654,0.033455796940016526,0.1395303349484649,199.9866359519513,0.5472575746315705
22.98,27.8151652059346,35.87001097814338,0.03344588205215798,0.1389744557166167,200.09154973722977,0.551148666672878
22.99,27.78557850032677,35.87102646856476,0.033436526578767105,0.13842002747859372,200.19648963695855,0.5550600716957436
23.0,27.7560076211294,35.87205071538978,0.033427682489330986,0.1378671906427639,200.30144560138424,0.5589934033776476
23.009999999999998,27.72645514184403,35.87308498895974,0.033419229716513996,0.1373161110453778,200.40640361946183,0.5629503559144892
23.02,27.696924033892106,35.87413074201009,0.033411001812360945,0.1367669682240957,200.511346553119,0.5669327059501459
23.029999999999998,27.667416807275995,35.87518922794655,0.033402897961053134,0.13621989881478985,200.61625661220296,0.5709423829700624
23.04,27.637935759862504,35.87626160841235,0.033394847402638546,0.13567501999894296,200.72111574945404,0.5749813842491076
23.05,27.608483188537438,35.87734904462679,0.033386779510013107,0.13513244886281442,200.82590591612285,0.5790517074317454
23.06,27.579061416203672,35.87845270961722,0.033378611812518916,0.13459229790425264,200.93060869594248,0.5831554162972807
23.07,27.549672843070233,35.879573811496854,0.03337022664798882,0.13405466598726606,201.03520458061774,0.5872947711357093
23.08,27.5203198836389,35.880713564865786,0.03336149984788741,0.1335196494551768,201.1396738599541,0.5914720685688207
23.09,27.491004952411423,35.88187318432411,0.03335230724367923,0.13298734465130638,201.24399682375707,0.595689605218411
23.099999999999998,27.46173055679958,35.883053924299816,0.033342537618069074,0.13245784649292316,201.3481533951839,0.5999495708282315
23.11,27.432499706744668,35.88425725464135,0.03333214980415978,0.13193124218408495,201.45212151427233,0.60425357706233
23.119999999999997,27.40331558131226,35.88548471769596,0.033321126210219786,0.13140761633300194,201.55587845364954,0.6086030410344633
23.13,27.374181359695328,35.88673785586556,0.03330944926228335,0.13088705354592742,201.65940148543982,0.6129993797117855
23.14,27.34510022108686,35.88801821155206,0.03329710138638471,0.1303696384291154,201.76266788176738,0.6174440100614462
23.15,27.316075344679874,35.889327327157325,0.03328406500855811,0.1298554555888196,201.86565491475648,0.6219383490505948
23.16,27.287109909667336,35.89066674508328,0.03327032255483776,0.12934458963129353,201.96833985653143,0.6264838136463854
23.169999999999998,27.258207095242255,35.89203800773181,0.03325585645125791,0.1288371251627912,202.07069997921644,0.6310818208159659
23.18,27.2293700805976,35.893442657504835,0.03324064912385279,0.12833314678956592,202.17271255493583,0.6357337875264905
23.189999999999998,27.200602044926388,35.894882236804236,0.03322468522925981,0.12783273594433084,202.2743552455153,0.6404411113967362
23.2,27.171906167421582,35.896358288031905,0.03320800072798916,0.12733590106835668,202.37561467591647,0.6452047450329603
23.21,27.143285627276192,35.89787235358976,0.03319068288442391,0.1268425776114729,202.47648643423622,0.650025196028889
23.22,27.114743596431794,35.89942597240016,0.033172820631202485,0.1263526975705769,202.5769665137688,0.6549029442013004
23.23,27.086282925515597,35.90102052714611,0.03315448921858455,0.12586618387752496,202.67705107912136,0.6598380637543695
23.24,27.05790588577021,35.90265711135879,0.033135779736080756,0.12538295507071834,202.77673474582113,0.6648297816266342
23.25,27.029614572285304,35.904336731486396,0.033116810683716205,0.12490293017564577,202.87601152479908,0.6698770944845422
23.259999999999998,27.001409586443554,35.90605971326286,0.033097924772287964,0.12442597220153541,202.97487985667647,0.674978141914281
23.27,26.973289802603414,35.90782559639407,0.03307960771574427,0.12395189099600523,203.07334482755655,0.6801300822313916
23.279999999999998,26.94525343947556,35.9096336142716,0.03306227373471663,0.12348050638520093,203.1714147200745,0.6853295372765316
23.29,26.917298650479417,35.911482969769914,0.03304633086524095,0.1230116386604775,203.26909818406514,0.6905730739356445
23.3,26.889423042421733,35.913372617777085,0.033032294307740344,0.12254504801677457,203.366410080889,0.6958568648368755
23.31,26.861623295562797,35.91530109282703,0.03302086091371276,0.1220803927814357,203.46337580087373,0.7011764143140438
23.32,26.833896000687155,35.9172668884033,0.033012744575010376,0.12161732133746776,203.56002176612554,0.7065271597911563
23.33,26.806237759249417,35.91926848505698,0.03300863759503049,0.12115547907832673,203.65637486085484,0.7119044541277284
23.34,26.778645186564965,35.92130434653944,0.033009204233004054,0.12069450751393464,203.75246256956228,0.7173035403310268
23.349999999999998,26.75111489887554,35.92337293547931,0.033015106873922964,0.12023404789467111,203.84831241686686,0.7227196540666995
23.36,26.7236435123323,35.925472714459296,0.03302700789409385,0.1197737414710353,203.94395192589792,0.7281480310353304
23.369999999999997,26.696227474123063,35.927602058135186,0.03304554614422382,0.11931322718644957,204.03940521876137,0.7335839406839041
23.38,26.66886320786006,35.9297592328274,0.033071184255028425,0.1188522492770199,204.13467039958857,0.7390233078167349
23.39,26.641547855215226,35.93194272779148,0.03310420206615297,0.11839075641851239,204.2297200612651,0.7444630651834652
23.4,26.614278615110678,35.93415104955671,0.03314486127492373,0.11792871825430497,204.32452464735223,0.7499002398332106
23.41,26.587052686468503,35.936382704652445,0.03319342357866701,0.11746610442777512,204.4190546014114,0.7553318588150923
23.419999999999998,26.55986725291352,35.93863618966909,0.033250154514120236,0.11700289434014707,204.51328053910862,0.7607549254975463
23.43,26.532719340146915,35.94090989859153,0.03331535925462329,0.11653916812889269,204.60717485285244,0.766166198778808
23.439999999999998,26.50560588070348,35.943202164872886,0.03338936635698471,0.11607506536046586,204.7007109832342,0.7715622933328011
23.45,26.478523805913813,35.945511321183936,0.03347250468024082,0.11561072636943008,204.79386238439278,0.77693982196938
23.46,26.451470047108533,35.94783570019543,0.033565105290294495,0.11514628937547335,204.88660281544327,0.782295366355013
23.47,26.424441535618264,35.95017363457812,0.033667550010980325,0.11468184395613536,204.97891304995355,0.7876247918584175
23.48,26.397435202773593,35.95252345700281,0.03378027142406485,0.11421743104680707,205.07078087594434,0.7929232475505663
23.49,26.370447979905155,35.95488350014023,0.033903704318181016,0.11375308946800405,205.1621943864123,0.7981858513590441
23.5,26.343476798343545,35.95725209666114,0.03403828399390609,0.11328885786220556,205.25314169976784,0.803407719308153
23.509999999999998,26.316518589419392,35.95962757923634,0.034184554283995854,0.11282473712832322,205.3436163220589,0.8085835639247483
23.52,26.289570284463284,35.96200828053656,0.03434330117083204,0.11236064395438207,205.43362377986534,0.8137071974796076
23.529999999999998,26.262628814805858,35.96439253323257,0.03451534340122726,0.11189648363412312,205.5231712262237,0.8187723104329547
23.54,26.235691113328443,35.96677866987122,0.03470149909798198,0.11143216224558894,205.61226582369864,0.8237725860607787
23.55,26.20875417319728,35.969165018181656,0.034902562125413664,0.11096761635657293,205.70091510526524,0.8287014283516693
23.56,26.181815108342168,35.971549910129355,0.03511928973411294,0.11050283208357574,205.78912800032853,0.8335518115620443
23.57,26.154871906830166,35.97393196160416,0.03535239427443145,0.11003787954564523,205.8769198261392,0.8383161910620555
23.58,26.127924573884997,35.97631052021863,0.035602462563891886,0.10957303125776471,205.96430039729412,0.8429868858934111
23.59,26.10097592617292,35.978685977757614,0.03586984745313693,0.10910897757432071,206.05126907693287,0.8475595328279402
23.599999999999998,26.074031821866022,35.981059860670996,0.036154711689570546,0.10864678669239287,206.1378214704229,0.852034079844699
23.61,26.047098617250807,35.98343388130397,0.0364571891735554,0.1081875801225534,206.2239518050986,0.8564107630479858
23.619999999999997,26.020182605490817,35.98580972198086,0.03677741273723475,0.10773248078102028,206.3096544801898,0.8606897530979425
23.63,25.993288307457522,35.98818824168143,0.03711558635756128,0.10728260713692829,206.39492994079828,0.8648697406548383
23.64,25.96641681969932,35.99056872919718,0.037472130887748076,0.10683897446184286,206.47979132167302,0.8689472356651348
23.65,25.93956807642761,35.99294994153181,0.03784753665238432,0.10640253328220559,206.5642560036236,0.8729181893132334
23.66,25.912741628881445,35.99533043023116,0.03824226154444051,0.10597425816763754,206.64834122548513,0.8767777457139886
23.669999999999998,25.885936654307258,35.99770854415757,0.03865672640953176,0.10555515218619468,206.73206432626708,0.8805202601465203
23.68,25.85915194086955,36.00008242261265,0.03909127693173433,0.10514628514091677,206.81545032016655,0.884140228705122
23.689999999999998,25.832385903205406,36.00245000376935,0.03954618510503839,0.10474879245481149,206.89853190674077,0.8876323229281075
23.7,25.805636939711555,36.00480921705585,0.040021719719517755,0.10436381240392784,206.98134211969312,0.8909912219817985
23.71,25.77890344878475,36.0071579919004,0.040518149565245694,0.10399248326431529,207.06391399272695,0.8942116050325126
23.72,25.752183828821746,36.00949425773119,0.041035743432295484,0.1036359433120233,207.14628055954552,0.8972881512465678
23.73,25.72547647821927,36.01181594397646,0.04157477011074097,0.10329533082310094,207.2284748538523,0.9002155397902851
23.74,25.698779795374094,36.01412098006441,0.042135498390655224,0.10297178407359775,207.31052990935052,0.9029884498299816
23.75,25.672092112397056,36.01640729542325,0.04271820269343438,0.10266644110482868,207.39247891378398,0.9056015247723839
23.759999999999998,25.64541025985983,36.01867282403314,0.04332327677402272,0.10238043166461967,207.47435784864174,0.9080488970984144
23.77,25.61873005710035,36.020915601511625,0.04395103667196851,0.10211482563118589,207.5561892121466,0.9103307216641698
23.779999999999998,25.592047826699627,36.02313377602561,0.04460158936441109,0.10187064028659389,207.63797649067504,0.912454713695625
23.79,25.56535974744644,36.02532556340405,0.04527492799629359,0.10164885173884222,207.7197150623706,0.9144330157576221
23.8,25.538659812273593,36.02748974228408,0.04597096611291519,0.101450382553381,207.80138972981226,0.9162831937068084
23.81,25.51194117841015,36.029625510450664,0.04668964376490744,0.10127615844367759,207.8829817961984,0.9180248869937602
23.82,25.485197013111204,36.031732076458184,0.04743083127685182,0.10112684586480575,207.96448286493552,0.9196753423893589
23.83,25.458420483631908,36.03380864886098,0.048194348512199725,0.10100295133502747,208.04589071254324,0.9212503371066917
23.84,25.43160469287046,36.03585439959561,0.04897998295753729,0.10090493873006397,208.12720238644096,0.9227654712617037
23.849999999999998,25.404742111057725,36.037868141015124,0.04978720972775873,0.10083285692707644,208.20840758209962,0.924234809733224
23.86,25.37782451320922,36.03984829003118,0.05061516533519692,0.10078632238760177,208.28948763685094,0.9256708827743068
